model,dataset,train_acc,test_acc,coverage,precision,missed,time
nn,recidivism,0.6791464851420344,0.6680628272251309,0.669109947643979,0.3583724513556737,False,1.1350343227386475
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7539267015706806,0.3402777730516976,False,1.0529730319976807
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8324607329842932,0.7622641413551681,False,1.3610355854034424
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8879581151832461,0.7499999911556605,False,1.445998191833496
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7539267015706806,0.3402777730516976,False,1.134033203125
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7539267015706806,0.3402777730516976,False,1.1290302276611328
nn,recidivism,0.6791464851420344,0.6680628272251309,0.86282722513089,0.779126204136818,False,1.3329741954803467
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9109947643979057,0.7436781523715155,False,1.447030782699585
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7539267015706806,0.3402777730516976,False,1.0980315208435059
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8282722513089005,0.7863463870246981,False,1.411637306213379
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8345549738219895,0.7741530643142652,False,1.5389866828918457
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7539267015706806,0.3402777730516976,False,1.072068452835083
nn,recidivism,0.6791464851420344,0.6680628272251309,0.900523560209424,0.7430232471741484,False,1.629244089126587
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8534031413612565,0.7779141008844895,False,1.6850683689117432
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9057591623036649,0.7421965232116009,False,1.5689682960510254
nn,recidivism,0.6791464851420344,0.6680628272251309,0.6827225130890052,0.3619631846324665,False,1.1229989528656006
nn,recidivism,0.6791464851420344,0.6680628272251309,0.9235602094240838,0.7392290165620293,False,1.5190479755401611
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8869109947643979,0.7721369448389971,False,1.4280080795288086
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7539267015706806,0.3402777730516976,False,1.1379787921905518
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7947643979057591,0.32542819070582096,False,1.3240008354187012
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7235602094240837,0.32272068997509856,False,1.1880018711090088
nn,recidivism,0.6791464851420344,0.6680628272251309,0.669109947643979,0.3583724513556737,False,1.1969985961914062
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8869109947643979,0.7497048317626348,False,1.6040332317352295
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8785340314136125,0.7735399192665088,False,1.5469608306884766
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8575916230366493,0.7716727622506379,False,1.5439999103546143
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8607329842931937,0.7639902583456173,False,1.4470014572143555
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7162303664921466,0.32163742219828334,False,1.1900105476379395
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8617801047120419,0.7788578277174019,False,1.3779995441436768
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7183246073298429,0.34985422230533203,False,1.2290360927581787
nn,recidivism,0.6791464851420344,0.6680628272251309,0.930890052356021,0.7412823313691527,False,1.4979991912841797
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8879581151832461,0.7499999911556605,False,1.4270031452178955
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8586387434554974,0.7792682831796551,False,1.4340031147003174
nn,recidivism,0.6791464851420344,0.6680628272251309,0.8659685863874346,0.7775090595222605,False,1.3079719543457031
nn,recidivism,0.6791464851420344,0.6680628272251309,0.7905759162303665,0.7894039630542522,False,1.3429970741271973
