model,dataset,train_acc,test_acc,coverage,precision,missed,time
lr,lending,0.8305402425578832,0.8395061728395061,0.029982363315696647,0.4999998529412197,False,0.09203171730041504
lr,lending,0.8305402425578832,0.8395061728395061,0.010582010582010581,0.0,False,0.08703279495239258
lr,lending,0.8305402425578832,0.8395061728395061,0.007936507936507936,0.9999988888901234,False,0.10200166702270508
lr,lending,0.8305402425578832,0.8395061728395061,0.006172839506172839,0.0,False,0.11203145980834961
lr,lending,0.8305402425578832,0.8395061728395061,0.013227513227513227,0.06666662222225185,False,0.11502218246459961
lr,lending,0.8305402425578832,0.8395061728395061,0.0008818342151675485,0.9999900000999989,False,0.6140182018280029
lr,lending,0.8305402425578832,0.8395061728395061,0.001763668430335097,0.0,False,0.12503337860107422
lr,lending,0.8305402425578832,0.8395061728395061,0.004409171075837742,0.0,False,0.10802817344665527
lr,lending,0.8305402425578832,0.8395061728395061,0.02204585537918871,0.99999960000016,False,0.10403251647949219
lr,lending,0.8305402425578832,0.8395061728395061,0.04585537918871252,0.9999998076923446,False,0.10103249549865723
lr,lending,0.8305402425578832,0.8395061728395061,0.019400352733686066,0.9999995454547521,False,0.10203289985656738
lr,lending,0.8305402425578832,0.8395061728395061,0.025573192239858905,0.9999996551725328,False,0.12803268432617188
lr,lending,0.8305402425578832,0.8395061728395061,0.02204585537918871,0.9599996160001536,False,0.1340322494506836
lr,lending,0.8305402425578832,0.8395061728395061,0.02204585537918871,0.0399999840000064,False,0.08303284645080566
lr,lending,0.8305402425578832,0.8395061728395061,0.015873015873015872,0.9999994444447531,False,0.11903214454650879
lr,lending,0.8305402425578832,0.8395061728395061,0.001763668430335097,0.9999950000249999,False,0.10103249549865723
lr,lending,0.8305402425578832,0.8395061728395061,0.02292768959435626,0.1923076183432237,False,0.12403297424316406
lr,lending,0.8305402425578832,0.8395061728395061,0.01763668430335097,0.0,False,0.10803580284118652
lr,lending,0.8305402425578832,0.8395061728395061,0.04585537918871252,0.0,False,0.12603259086608887
lr,lending,0.8305402425578832,0.8395061728395061,0.026455026455026454,0.06666664444445185,False,0.11503243446350098
lr,lending,0.8305402425578832,0.8395061728395061,0.0008818342151675485,0.9999900000999989,False,0.11799931526184082
lr,lending,0.8305402425578832,0.8395061728395061,0.015873015873015872,0.9999994444447531,False,0.1270277500152588
lr,lending,0.8305402425578832,0.8395061728395061,0.015873015873015872,0.9999994444447531,False,0.13903212547302246
lr,lending,0.8305402425578832,0.8395061728395061,0.027336860670194002,0.9999996774194589,False,0.08701610565185547
lr,lending,0.8305402425578832,0.8395061728395061,0.0008818342151675485,0.9999900000999989,False,0.5029942989349365
lr,lending,0.8305402425578832,0.8395061728395061,0.04585537918871252,0.0,False,0.10303235054016113
lr,lending,0.8305402425578832,0.8395061728395061,0.01146384479717813,0.9999992307698226,False,0.11302661895751953
lr,lending,0.8305402425578832,0.8395061728395061,0.010582010582010581,0.0,False,0.10501790046691895
lr,lending,0.8305402425578832,0.8395061728395061,0.007936507936507936,0.11111098765445816,False,0.15503311157226562
lr,lending,0.8305402425578832,0.8395061728395061,0.02204585537918871,0.9599996160001536,False,0.11002993583679199
lr,lending,0.8305402425578832,0.8395061728395061,0.026455026455026454,0.933333022222326,False,0.13303279876708984
lr,lending,0.8305402425578832,0.8395061728395061,0.013227513227513227,0.9333327111115259,False,0.1230323314666748
lr,lending,0.8305402425578832,0.8395061728395061,0.01763668430335097,0.0499999750000125,False,0.11003708839416504
lr,lending,0.8305402425578832,0.8395061728395061,0.019400352733686066,0.8636359710745586,False,0.10603570938110352
lr,lending,0.8305402425578832,0.8395061728395061,0.01763668430335097,0.0499999750000125,False,0.1300201416015625
lr,lending,0.8305402425578832,0.8395061728395061,0.027336860670194002,0.45161275754427177,False,0.1170358657836914
lr,lending,0.8305402425578832,0.8395061728395061,0.027336860670194002,0.9999996774194589,False,0.1040194034576416
lr,lending,0.8305402425578832,0.8395061728395061,0.019400352733686066,0.9999995454547521,False,0.09958744049072266
lr,lending,0.8305402425578832,0.8395061728395061,0.009700176366843033,0.0,False,0.11803054809570312
lr,lending,0.8305402425578832,0.8395061728395061,0.029982363315696647,0.4999998529412197,False,0.1040334701538086
lr,lending,0.8305402425578832,0.8395061728395061,0.025573192239858905,0.9999996551725328,False,0.09903264045715332
lr,lending,0.8305402425578832,0.8395061728395061,0.02292768959435626,0.0,False,0.1410388946533203
lr,lending,0.8305402425578832,0.8395061728395061,0.01675485008818342,0.9999994736844876,False,0.14102506637573242
lr,lending,0.8305402425578832,0.8395061728395061,0.013227513227513227,0.9999993333337778,False,0.10700678825378418
